A;R;T;RT;TR
0;0.002896993;0.997103007;1;2.22E-16
1;0.002894651;0.997105349;1;-3.13E-14
2;0.002887631;0.997112369;1;-1.11E-14
3;0.002875948;0.997124052;1;-7.55E-15
4;0.002859628;0.997140372;1;-6.66E-15
5;0.002838708;0.997161292;1;7.88E-15
6;0.002813234;0.997186766;1;1.38E-14
7;0.002783264;0.997216736;1;-2.40E-14
8;0.002748865;0.997251135;1;2.50E-14
9;0.002710115;0.997289885;1;9.55E-15
10;0.002667104;0.997332896;1;-2.80E-14
11;0.002619928;0.997380072;1;8.22E-15
12;0.002568698;0.997431302;1;4.00E-15
13;0.002513533;0.997486467;1;-4.66E-15
14;0.002454562;0.997545438;1;-2.62E-14
15;0.002391924;0.997608076;1;2.00E-15
16;0.002325769;0.997674231;1;4.44E-15
17;0.002256257;0.997743743;1;3.22E-15
18;0.002183558;0.997816442;1;2.07E-14
19;0.00210785;0.99789215;1;8.66E-15
20;0.002029323;0.997970677;1;7.33E-15
21;0.001948178;0.998051822;1;-1.33E-15
22;0.001864625;0.998135375;1;-2.11E-14
23;0.001778884;0.998221116;1;-7.55E-15
24;0.00169119;0.99830881;1;-3.33E-15
25;0.001601786;0.998398214;1;-1.53E-14
26;0.001510932;0.998489068;1;-4.00E-15
27;0.001418899;0.998581101;1;-7.77E-15
28;0.001325978;0.998674022;1;2.00E-15
29;0.001232475;0.998767525;1;9.88E-15
30;0.00113872;0.99886128;1;-1.47E-14
31;0.001045064;0.998954936;1;-1.22E-14
32;9.52E-04;0.999048115;1;-5.11E-15
33;8.60E-04;0.999140407;1;-1.15E-14
34;7.69E-04;0.999231366;1;-4.44E-15
35;6.79E-04;0.999320508;1;-2.22E-16
36;5.93E-04;0.999407304;1;2.66E-15
37;5.09E-04;0.999491172;1;-1.53E-14
38;4.29E-04;0.999571475;1;-2.44E-15
39;3.52E-04;0.99964751;1;-1.87E-14
40;2.81E-04;0.999718506;1;-3.77E-14
41;2.16E-04;0.999783613;1;-2.44E-14
42;1.58E-04;0.999841896;1;-1.49E-14
43;1.08E-04;0.999892329;1;-2.71E-14
44;6.62E-05;0.999933783;1;-4.22E-15
45;3.50E-05;0.999965022;1;6.66E-16
46;1.53E-05;0.999984694;1;6.44E-15
47;8.68E-06;0.999991317;1;7.88E-15
48;1.67E-05;0.999983277;1;-3.11E-15
49;4.12E-05;0.999958811;1;-4.55E-14
50;8.40E-05;0.999915997;1;-2.89E-15
51;1.47E-04;0.999852745;1;-1.69E-14
52;2.33E-04;0.999766787;1;-1.09E-14
53;3.44E-04;0.999655701;1;-8.88E-15
54;4.83E-04;0.999517058;1;-8.88E-16
55;6.50E-04;0.999349635;1;-2.73E-14
56;6.33E-04;0.999366954;1;-8.05E-13
57;0.001117857;0.998882143;1;-2.60E-14
58;0.001401683;0.998598317;1;-2.11E-14
59;0.00173674;0.99826326;1;-6.66E-16
60;0.002126697;0.997873303;1;1.72E-14
61;0.00257796;0.99742204;1;-3.31E-14
62;0.003098413;0.996901587;1;4.22E-15
63;0.003697501;0.996302499;1;1.63E-14
64;0.004386544;0.995613456;1;5.98E-14
65;0.005179193;0.994820807;1;-8.53E-14
66;0.006092016;0.993907984;1;-2.71E-14
67;0.007145281;0.992854719;1;4.50E-14
68;0.008363961;0.991636039;1;-7.28E-14
69;0.009779075;0.990220925;1;-8.08E-14
70;0.011429469;0.988570531;1;-9.53E-14
71;0.013364229;0.986635771;1;-4.71E-14
72;0.015645989;0.984354011;1;-6.39E-14
73;0.01835553;0.98164447;1;4.44E-14
74;0.021598298;0.978401702;1;-1.30E-13
75;0.02551378;0.97448622;1;-5.15E-14
76;0.030289271;0.969710729;1;-4.95E-14
77;0.036180492;0.963819508;1;-4.00E-15
78;0.043543148;0.956456852;1;7.26E-14
79;0.05288239;0.94711761;1;-2.39E-13
80;0.064932264;0.935067736;1;-1.31E-14
81;0.08078664;0.91921336;1;4.24E-14
82;0.102120322;0.897879678;1;1.64E-13
83;0.131570003;0.868429997;1;2.27E-13
84;0.173394546;0.826605454;1;-4.21E-13
85;0.234581391;0.765418609;1;-2.07E-13
86;0.326414684;0.673585316;1;1.93E-13
87;0.465102636;0.534897364;1;-1.77E-13
88;0.663234727;0.336765273;1;-1.62E-13
