A;R;T;RT;TR
0;0.087040429;0.912959571;1;-4.44E-15
1;0.086998041;0.913001959;1;-2.00E-14
2;0.086870914;0.913129086;1;-2.26E-14
3;0.08665916;0.91334084;1;-1.60E-14
4;0.086362962;0.913637038;1;-8.66E-15
5;0.08598258;0.91401742;1;9.77E-15
6;0.08551835;0.91448165;1;-6.66E-15
7;0.084970685;0.915029315;1;-7.55E-15
8;0.084340076;0.915659924;1;6.22E-15
9;0.083627096;0.916372904;1;-8.88E-16
10;0.082832399;0.917167601;1;-1.89E-14
11;0.081956725;0.918043275;1;-1.73E-14
12;0.081000901;0.918999099;1;2.78E-15
13;0.079965845;0.920034155;1;-8.88E-15
14;0.078852565;0.921147435;1;6.33E-15
15;0.07766217;0.92233783;1;1.91E-14
16;0.076395864;0.923604136;1;-9.33E-15
17;0.075054957;0.924945043;1;-1.29E-14
18;0.073640865;0.926359135;1;1.92E-14
19;0.072155115;0.927844885;1;-1.53E-14
20;0.07059935;0.92940065;1;-1.71E-14
21;0.068975334;0.931024666;1;-3.33E-15
22;0.067284957;0.932715043;1;-1.11E-14
23;0.065530243;0.934469757;1;-1.82E-14
24;0.063713352;0.936286648;1;-1.44E-14
25;0.061836596;0.938163404;1;-2.22E-16
26;0.059902442;0.940097558;1;6.33E-15
27;0.057913524;0.942086476;1;1.44E-15
28;0.055872658;0.944127342;1;-1.60E-14
29;0.053782855;0.946217145;1;-3.33E-15
30;0.051647337;0.948352663;1;-1.78E-15
31;0.049469556;0.950530444;1;-4.44E-16
32;0.04725322;0.95274678;1;-4.00E-15
33;0.045002316;0.954997684;1;3.33E-16
34;0.042721139;0.957278861;1;-2.04E-14
35;0.040414326;0.959585674;1;-1.44E-14
36;0.038086895;0.961913105;1;-2.22E-16
37;0.035744287;0.964255713;1;-1.47E-14
38;0.033392411;0.966607589;1;-1.09E-14
39;0.0310377;0.9689623;1;3.77E-15
40;0.028687172;0.971312828;1;-1.31E-14
41;0.026348495;0.973651505;1;7.99E-15
42;0.024030067;0.975969933;1;-8.66E-15
43;0.021741114;0.978258886;1;-3.11E-15
44;0.019491807;0.980508193;1;-2.40E-14
45;0.017293447;0.982706553;1;1.38E-14
46;0.015158761;0.984841239;1;-8.44E-15
47;0.013102534;0.986897466;1;6.99E-15
48;0.011143328;0.988856672;1;-2.66E-14
49;0.009310083;0.990689917;1;-1.11E-15
50;0.007688053;0.992311947;1;-1.18E-14
51;0.058641179;0.941358821;1;-1.04E-11
52;0.004072728;0.995927272;1;-1.31E-14
53;0.002924016;0.997075984;1;-4.73E-14
54;0.001893146;0.998106854;1;-1.98E-14
55;0.001071993;0.998928007;1;-1.51E-14
56;5.03E-04;0.999496787;1;-9.33E-15
57;2.24E-04;0.999776117;1;-1.09E-14
58;2.72E-04;0.999727755;1;-1.87E-14
59;6.90E-04;0.99931013;1;-1.91E-14
60;0.001522923;0.998477077;1;-2.09E-14
61;0.002823263;0.997176737;1;8.22E-15
62;0.004649645;0.995350355;1;-1.07E-14
63;0.00706911;0.99293089;1;-2.73E-14
64;0.01015865;0.98984135;1;-1.58E-14
65;0.014007235;0.985992765;1;-8.88E-15
66;0.018718274;0.981281726;1;4.44E-16
67;0.024412612;0.975587388;1;1.32E-14
68;0.031232183;0.968767817;1;-2.46E-14
69;0.039344463;0.960655537;1;-9.77E-15
70;0.048947868;0.951052132;1;6.33E-15
71;0.060278282;0.939721718;1;7.22E-15
72;0.073616885;0.926383115;1;1.15E-14
73;0.089299412;0.910700588;1;6.66E-15
74;0.107726874;0.892273126;1;-1.22E-14
75;0.12937748;0.87062252;1;6.11E-14
76;0.154819038;0.845180962;1;-2.62E-14
77;0.184720024;0.815279976;1;2.93E-14
78;0.219855757;0.780144243;1;2.03E-14
79;0.261102848;0.738897152;1;2.66E-15
80;0.309409774;0.690590226;1;-2.00E-14
81;0.365723113;0.634276887;1;-7.99E-15
82;0.430837558;0.569162442;1;-1.51E-14
83;0.505125773;0.494874227;1;-7.11E-15
84;0.58810113;0.41189887;1;1.64E-14
85;0.677795877;0.322204123;1;-2.11E-14
86;0.770040239;0.229959761;1;-2.82E-14
87;0.85793881;0.14206119;1;-1.47E-14
88;0.932101353;0.067898647;1;1.44E-15
