A;R;T;RT;TR
0;0.003774927;0.996225073;1;-4.44E-16
1;0.003770457;0.996229543;1;2.78E-15
2;0.003757097;0.996242903;1;-5.68E-14
3;0.003734991;0.996265009;1;-3.22E-14
4;0.003704381;0.996295619;1;-2.58E-14
5;0.003665609;0.996334391;1;1.68E-14
6;0.003619112;0.996380888;1;1.22E-13
7;0.003565431;0.996434569;1;8.83E-14
8;0.003505204;0.996494796;1;-6.66E-14
9;0.003439176;0.996560824;1;-4.17E-14
10;0.003368193;0.996631807;1;1.18E-13
11;0.003293212;0.996706788;1;1.26E-13
12;0.003215299;0.996784701;1;1.28E-13
13;0.003135631;0.996864369;1;8.24E-14
14;0.003055506;0.996944494;1;-2.40E-14
15;0.002976339;0.997023661;1;-9.64E-14
16;0.002899673;0.997100327;1;-4.46E-14
17;0.00282718;0.99717282;1;1.13E-13
18;0.002760668;0.997239332;1;1.20E-13
19;0.002702088;0.997297912;1;1.10E-13
20;0.00265354;0.99734646;1;-4.61E-13
21;0.002617281;0.997382719;1;-6.94E-13
22;0.002595733;0.997404267;1;-6.66E-15
23;0.002591495;0.997408505;1;6.51E-14
24;0.002607349;0.997392651;1;3.66E-13
25;0.002646275;0.997353725;1;-1.58E-12
26;0.002711464;0.997288536;1;1.21E-13
27;0.002806328;0.997193672;1;-1.04E-13
28;0.00293452;0.99706548;1;2.84E-13
29;0.003099949;0.996900051;1;3.69E-13
30;0.003306798;0.996693202;1;-4.00E-14
31;0.003559546;0.996440454;1;-3.13E-13
32;0.003862992;0.996137008;1;3.30E-13
33;0.004222279;0.995777721;1;9.21E-14
34;0.004642921;0.995357079;1;-3.66E-13
35;0.005130841;0.994869159;1;-1.65E-13
36;0.005692399;0.994307601;1;2.31E-13
37;0.00633444;0.99366556;1;1.51E-12
38;0.007064333;0.992935667;1;-9.15E-14
39;0.007890025;0.992109975;1;1.56E-13
40;0.008820098;0.991179902;1;-2.78E-13
41;0.009863834;0.990136166;1;-3.34E-13
42;0.011031291;0.988968709;1;-1.67E-13
43;0.012333383;0.987666617;1;-2.38E-14
44;0.01378198;0.98621802;1;-6.11E-13
45;0.015390007;0.984609993;1;-2.00E-12
46;0.017171572;0.982828428;1;-9.48E-13
47;0.019142092;0.980857908;1;-4.98E-13
48;0.021318441;0.978681559;1;-6.73E-14
49;0.023719094;0.976280906;1;-2.26E-12
50;0.02636426;0.97363574;1;-1.01E-12
51;0.029275941;0.970724059;1;-1.12E-12
52;0.032477708;0.967522292;1;-8.22E-15
53;0.035993416;0.964006584;1;-3.92E-13
54;0.039840198;0.960159802;1;6.00E-14
55;0.043955934;0.956044066;1;-3.45E-12
56;0.049468636;0.950531364;1;5.39E-12
57;0.054224877;0.945775123;1;-9.81E-13
58;0.059853454;0.940146546;1;-1.68E-13
59;0.06608822;0.93391178;1;-6.73E-13
60;0.072965692;0.927034308;1;-9.15E-13
61;0.080548016;0.919451984;1;1.02E-12
62;0.088909644;0.911090356;1;5.08E-13
63;0.098135873;0.901864127;1;5.82E-13
64;0.108323397;0.891676603;1;-4.37E-13
65;0.11958145;0.88041855;1;-1.93E-12
66;0.132033236;0.867966764;1;-5.02E-13
67;0.145817519;0.854182481;1;6.24E-13
68;0.161090292;0.838909708;1;7.96E-13
69;0.178026421;0.821973579;1;5.02E-13
70;0.196821109;0.803178891;1;6.37E-13
71;0.217690929;0.782309071;1;-1.28E-12
72;0.24087404;0.75912596;1;-2.26E-12
73;0.26662902;0.73337098;1;-1.06E-12
74;0.295231457;0.704768543;1;-5.40E-12
75;0.326967085;0.673032915;1;-6.05E-13
76;0.362119783;0.637880217;1;4.53E-13
77;0.400952183;0.599047817;1;1.43E-13
78;0.443676053;0.556323947;1;8.49E-13
79;0.49040921;0.50959079;1;-1.52E-12
80;0.541115816;0.458884184;1;3.34E-13
81;0.595528176;0.404471824;1;6.71E-14
82;0.653051507;0.346948493;1;-1.67E-13
83;0.712659682;0.287340318;1;1.42E-12
84;0.772800364;0.227199636;1;1.60E-13
85;0.831341213;0.168658787;1;-1.26E-12
86;0.885600683;0.114399317;1;-5.36E-13
87;0.932508326;0.067491674;1;-1.25E-12
88;0.968919103;0.031080897;1;1.76E-13
