A;R;T;RT;TR
0;0.570417743;0.429582257;1;-9.55E-15
1;0.570484975;0.429515025;1;-6.57E-14
2;0.570686719;0.429313281;1;-4.49E-14
3;0.57102312;0.42897688;1;-5.51E-14
4;0.571494421;0.428505579;1;3.46E-14
5;0.572100971;0.427899029;1;2.60E-14
6;0.572843224;0.427156776;1;2.18E-14
7;0.573721757;0.426278243;1;-6.48E-14
8;0.574737279;0.425262721;1;1.71E-14
9;0.575890658;0.424109342;1;-2.22E-15
10;0.577182951;0.422817049;1;-2.33E-14
11;0.578615463;0.421384537;1;1.05E-13
12;0.580189838;0.419810162;1;3.27E-13
13;0.581908209;0.418091791;1;-2.89E-13
14;0.583773482;0.416226518;1;1.83E-14
15;0.585789858;0.414210142;1;6.86E-14
16;0.587963931;0.412036069;1;-1.29E-13
17;0.590307182;0.409692818;1;7.18E-14
18;0.592842573;0.407157427;1;-8.68E-14
19;0.59562594;0.40437406;1;-5.53E-14
20;0.598843909;0.401156091;1;-1.22E-14
21;0.603752079;0.396247921;1;1.03E-13
22;0.59660498;0.40339502;1;-4.33E-14
23;0.604624502;0.395375498;1;4.49E-14
24;0.608652471;0.391347529;1;-8.88E-15
25;0.612386346;0.387613654;1;5.31E-14
26;0.61613453;0.38386547;1;5.11E-15
27;0.619975773;0.380024227;1;-3.75E-14
28;0.623939891;0.376060109;1;-7.77E-14
29;0.628041014;0.371958986;1;-2.09E-14
30;0.632286937;0.367713063;1;4.17E-14
31;0.636682459;0.363317541;1;-5.00E-14
32;0.641230773;0.358769227;1;5.50E-14
33;0.645934115;0.354065885;1;-7.53E-14
34;0.650794087;0.349205913;1;-4.13E-14
35;0.655811823;0.344188177;1;7.65E-14
36;0.660988079;0.339011921;1;1.68E-13
37;0.666323275;0.333676725;1;-1.23E-13
38;0.671817518;0.328182482;1;1.03E-13
39;0.677470604;0.322529396;1;-6.00E-15
40;0.683282007;0.316717993;1;-4.44E-16
41;0.689250868;0.310749132;1;2.10E-13
42;0.695375974;0.304624026;1;1.57E-13
43;0.701655733;0.298344267;1;7.52E-14
44;0.708088143;0.291911857;1;8.55E-14
45;0.714670759;0.285329241;1;2.18E-13
46;0.721400657;0.278599343;1;-3.23E-13
47;0.728274384;0.271725616;1;-2.78E-13
48;0.735287916;0.264712084;1;1.78E-13
49;0.742436587;0.257563413;1;9.73E-14
50;0.749715026;0.250284974;1;1.61E-13
51;0.75711706;0.24288294;1;-3.64E-14
52;0.764635601;0.235364399;1;2.26E-13
53;0.77226249;0.22773751;1;-3.42E-14
54;0.779988265;0.220011735;1;9.66E-14
55;0.78780183;0.21219817;1;-2.26E-13
56;0.795689903;0.204310097;1;4.69E-13
57;0.803636061;0.196363939;1;6.06E-14
58;0.811618953;0.188381047;1;5.53E-13
59;0.81960858;0.18039142;1;1.21E-13
60;0.827557662;0.172442338;1;8.83E-14
61;0.835378098;0.164621902;1;5.81E-13
62;0.842860229;0.157139771;1;-1.33E-15
63;0.849261668;0.150738332;1;-5.72E-13
64;0.847609994;0.152390006;1;-6.82E-14
65;0.882949507;0.117050493;1;-8.88E-15
66;0.882932696;0.117067304;1;1.51E-13
67;0.889293162;0.110706838;1;-3.77E-14
68;0.896539958;0.103460042;1;1.19E-13
69;0.904002145;0.095997855;1;3.88E-13
70;0.911476757;0.088523243;1;-2.05E-13
71;0.918870357;0.081129643;1;3.13E-13
72;0.926126024;0.073873976;1;9.88E-14
73;0.933201762;0.066798238;1;-4.09E-14
74;0.940062591;0.059937409;1;1.03E-13
75;0.94667725;0.05332275;1;8.37E-14
76;0.95301671;0.04698329;1;-4.02E-14
77;0.9590535;0.0409465;1;5.28E-14
78;0.96476142;0.03523858;1;7.94E-14
79;0.970115469;0.029884531;1;-7.53E-14
80;0.975091875;0.024908125;1;1.49E-13
81;0.979668203;0.020331797;1;-1.71E-13
82;0.983823481;0.016176519;1;-3.06E-14
83;0.987538364;0.012461636;1;-7.82E-14
84;0.990795291;0.009204709;1;-2.89E-14
85;0.993578651;0.006421349;1;1.06E-13
86;0.995874932;0.004125068;1;-1.18E-13
87;0.997672867;0.002327133;1;-4.13E-14
88;0.998963555;0.001036445;1;-7.75E-14
