A;R;T;RT;TR
0;0.265251485;0.734748515;1;1.80E-12
1;0.26526852;0.73473148;1;-2.42E-14
2;0.265319706;0.734680294;1;-2.30E-12
3;0.265405292;0.734594708;1;-2.42E-13
4;0.265525689;0.734474311;1;7.34E-13
5;0.265681475;0.734318525;1;2.92E-12
6;0.265873396;0.734126604;1;2.41E-12
7;0.266102366;0.733897634;1;1.81E-12
8;0.266369466;0.733630534;1;7.76E-13
9;0.266675953;0.733324047;1;-1.52E-12
10;0.267023254;0.732976746;1;-1.46E-12
11;0.267412975;0.732587025;1;-6.64E-13
12;0.267846899;0.732153101;1;3.69E-13
13;0.268326992;0.731673008;1;-7.49E-13
14;0.268855405;0.731144595;1;1.02E-13
15;0.269434478;0.730565522;1;3.56E-13
16;0.270066747;0.729933253;1;-6.70E-13
17;0.270754942;0.729245058;1;1.35E-12
18;0.271502;0.728498;1;9.19E-13
19;0.272311067;0.727688933;1;-1.88E-13
20;0.273185503;0.726814497;1;-7.72E-13
21;0.274128892;0.725871108;1;-4.53E-13
22;0.27514505;0.72485495;1;-5.51E-13
23;0.276238031;0.723761969;1;-2.92E-13
24;0.27741214;0.72258786;1;4.64E-13
25;0.278671942;0.721328058;1;8.79E-13
26;0.280022276;0.719977724;1;-1.59E-12
27;0.281468265;0.718531735;1;-8.38E-13
28;0.283015337;0.716984663;1;1.50E-13
29;0.284669237;0.715330763;1;-4.12E-13
30;0.286436048;0.713563952;1;3.71E-13
31;0.288322213;0.711677787;1;1.36E-13
32;0.290334557;0.709665443;1;-7.04E-14
33;0.292480314;0.707519686;1;5.42E-14
34;0.29476716;0.70523284;1;1.85E-13
35;0.297203237;0.702796763;1;-3.37E-13
36;0.299797201;0.700202799;1;-7.99E-14
37;0.30255825;0.69744175;1;-1.78E-15
38;0.305496177;0.694503823;1;-1.31E-13
39;0.308621414;0.691378586;1;-1.79E-12
40;0.311945086;0.688054914;1;-6.15E-13
41;0.315479066;0.684520934;1;1.19E-12
42;0.319236039;0.680763961;1;-1.81E-12
43;0.323229569;0.676770431;1;-9.34E-13
44;0.327474166;0.672525834;1;-5.25E-13
45;0.331985364;0.668014636;1;-6.10E-13
46;0.336779802;0.663220198;1;-1.22E-14
47;0.341875302;0.658124698;1;-5.75E-13
48;0.347290962;0.652709038;1;-1.07E-13
49;0.353047243;0.646952757;1;-6.39E-14
50;0.35916607;0.64083393;1;-6.26E-13
51;0.365670934;0.634329066;1;-4.95E-13
52;0.372587021;0.627412979;1;3.55E-13
53;0.379941381;0.620058619;1;1.10E-13
54;0.387763206;0.612236794;1;1.40E-14
55;0.396084424;0.603915576;1;2.69E-13
56;0.404941318;0.595058682;1;-1.01E-13
57;0.414380478;0.585619522;1;-8.35E-13
58;0.424494213;0.575505787;1;-1.34E-13
59;0.436439671;0.563560329;1;3.09E-13
60;0.445654703;0.554345297;1;-4.37E-13
61;0.457892487;0.542107513;1;3.69E-13
62;0.470695923;0.529304077;1;-4.49E-13
63;0.484246888;0.515753112;1;5.74E-13
64;0.498607589;0.501392411;1;3.12E-13
65;0.513822682;0.486177318;1;-7.11E-13
66;0.529930094;0.470069906;1;1.97E-13
67;0.546962388;0.453037612;1;-6.84E-14
68;0.564945954;0.435054046;1;-1.89E-13
69;0.583899307;0.416100693;1;-7.04E-14
70;0.603830796;0.396169204;1;-3.11E-14
71;0.624735803;0.375264197;1;6.29E-14
72;0.646593465;0.353406535;1;-2.23E-13
73;0.669362939;0.330637061;1;-1.51E-13
74;0.692979273;0.307020727;1;2.67E-13
75;0.717349012;0.282650988;1;2.64E-13
76;0.742345716;0.257654284;1;-1.72E-13
77;0.767805671;0.232194329;1;-1.55E-13
78;0.793524203;0.206475797;1;-2.62E-14
79;0.819253058;0.180746942;1;-7.44E-14
80;0.844699478;0.155300522;1;-1.26E-13
81;0.869527593;0.130472407;1;-4.20E-14
82;0.893362797;0.106637203;1;-2.92E-13
83;0.91579962;0.08420038;1;-8.79E-14
84;0.936413404;0.063586596;1;-9.33E-14
85;0.954775694;0.045224306;1;1.17E-14
86;0.970472788;0.029527212;1;-9.77E-15
87;0.983126318;0.016873682;1;2.44E-15
88;0.992414263;0.007585737;1;8.44E-15
