A;R;T;RT;TR
0;0.64021021;0.35978979;1;8.88E-16
1;0.640129152;0.359870848;1;7.22E-15
2;0.639885847;0.360114153;1;-4.44E-16
3;0.639479894;0.360520106;1;-2.22E-16
4;0.638910625;0.361089375;1;1.47E-14
5;0.638177101;0.361822899;1;-1.47E-14
6;0.637278116;0.362721884;1;-2.49E-14
7;0.636212185;0.363787815;1;-8.88E-15
8;0.634977549;0.365022451;1;1.55E-14
9;0.633572165;0.366427835;1;-1.87E-14
10;0.631993706;0.368006294;1;-1.51E-14
11;0.630239554;0.369760446;1;-1.55E-14
12;0.628306793;0.371693207;1;-1.35E-14
13;0.626192201;0.373807799;1;-1.07E-14
14;0.623892249;0.376107751;1;5.77E-15
15;0.621403083;0.378596917;1;-9.55E-15
16;0.618720524;0.381279476;1;-2.53E-14
17;0.615840051;0.384159949;1;1.18E-14
18;0.612756794;0.387243206;1;-2.35E-14
19;0.609465521;0.390534479;1;1.11E-15
20;0.605960622;0.394039378;1;-1.78E-14
21;0.602236101;0.397763899;1;7.22E-15
22;0.598285553;0.401714447;1;6.22E-15
23;0.594102155;0.405897845;1;-1.80E-14
24;0.589678641;0.410321359;1;1.17E-14
25;0.58500729;0.41499271;1;-2.73E-14
26;0.580079902;0.419920098;1;-1.42E-14
27;0.574887778;0.425112222;1;-9.55E-15
28;0.569421696;0.430578304;1;2.58E-14
29;0.563671889;0.436328111;1;-6.00E-15
30;0.557628021;0.442371979;1;-1.02E-14
31;0.551279151;0.448720849;1;2.95E-14
32;0.544613708;0.455386292;1;1.12E-14
33;0.537619447;0.462380553;1;5.11E-15
34;0.53028339;0.46971661;1;-2.66E-15
35;0.522591745;0.477408255;1;3.13E-14
36;0.514529756;0.485470244;1;9.44E-15
37;0.506081426;0.493918574;1;1.82E-14
38;0.497228939;0.502771061;1;3.40E-14
39;0.487951289;0.512048711;1;1.64E-14
40;0.478220624;0.521779376;1;-5.55E-15
41;0.467990096;0.532009904;1;-2.22E-15
42;0.457137041;0.542862959;1;3.00E-14
43;0.44487315;0.55512685;1;1.38E-14
44;0.439017344;0.560982656;1;1.55E-15
45;0.424327337;0.575672663;1;1.35E-14
46;0.411381675;0.588618325;1;-4.22E-15
47;0.398145034;0.601854966;1;1.98E-14
48;0.384438965;0.615561035;1;4.11E-15
49;0.370211396;0.629788604;1;2.44E-15
50;0.355439573;0.644560427;1;-4.88E-15
51;0.340112802;0.659887198;1;8.10E-15
52;0.324228282;0.675771718;1;6.66E-15
53;0.307790368;0.692209632;1;-1.13E-14
54;0.290811101;0.709188899;1;1.07E-14
55;0.273311358;0.726688642;1;-3.62E-14
56;0.255322446;0.744677554;1;2.11E-15
57;0.236888081;0.763111919;1;-2.66E-15
58;0.218066756;0.781933244;1;2.26E-14
59;0.198934521;0.801065479;1;9.33E-15
60;0.179588222;0.820411778;1;-2.02E-14
61;0.160149251;0.839850749;1;2.51E-14
62;0.14076784;0.85923216;1;5.77E-15
63;0.121627956;0.878372044;1;-2.22E-16
64;0.102952814;0.897047186;1;1.33E-14
65;0.085011005;0.914988995;1;-1.02E-14
66;0.06812319;0.93187681;1;6.44E-15
67;0.052669229;0.947330771;1;9.88E-15
68;0.039095493;0.960904507;1;-3.64E-14
69;0.027921952;0.972078048;1;-1.38E-14
70;0.019748373;0.980251627;1;-4.88E-15
71;0.015258629;0.984741371;1;-2.80E-14
72;0.015221697;0.984778303;1;2.93E-14
73;0.020487317;0.979512683;1;2.05E-14
74;0.031973602;0.968026398;1;1.47E-14
75;0.050643102;0.949356898;1;-3.33E-15
76;0.077463;0.922537;1;2.94E-14
77;0.113344522;0.886655478;1;-8.66E-15
78;0.159056587;0.840943413;1;4.05E-14
79;0.215109735;0.784890265;1;3.49E-14
80;0.281609315;0.718390685;1;3.29E-14
81;0.358082728;0.641917272;1;2.22E-15
82;0.443294941;0.556705059;1;-2.18E-14
83;0.535079775;0.464920225;1;-2.13E-14
84;0.630229628;0.369770372;1;2.19E-14
85;0.724498866;0.275501134;1;-2.86E-14
86;0.812777856;0.187222144;1;-1.47E-14
87;0.889475894;0.110524106;1;-2.33E-14
88;0.949105977;0.050894023;1;9.44E-15
