A;R;T;RT;TR
0;0.011347753;0.988652247;1;1.11E-16
1;0.011351705;0.988648295;1;1.41E-14
2;0.011363575;0.988636425;1;-4.44E-15
3;0.011383409;0.988616591;1;-5.11E-15
4;0.011411284;0.988588716;1;3.03E-14
5;0.011447306;0.988552694;1;2.91E-14
6;0.011491615;0.988508385;1;1.91E-14
7;0.011544381;0.988455619;1;3.44E-14
8;0.011605809;0.988394191;1;5.16E-14
9;0.011676138;0.988323862;1;1.83E-14
10;0.01175564;0.98824436;1;-3.06E-14
11;0.011844627;0.988155373;1;2.30E-14
12;0.011943447;0.988056553;1;-3.00E-14
13;0.012052489;0.987947511;1;9.66E-15
14;0.012172182;0.987827818;1;3.89E-15
15;0.012303003;0.987696997;1;3.97E-14
16;0.012445471;0.987554529;1;3.00E-14
17;0.012600158;0.987399842;1;-4.75E-14
18;0.012767686;0.987232314;1;-1.20E-14
19;0.012948733;0.987051267;1;-1.04E-14
20;0.013144037;0.986855963;1;1.77E-14
21;0.013354396;0.986645604;1;1.53E-14
22;0.01358068;0.98641932;1;3.32E-14
23;0.013823828;0.986176172;1;3.33E-14
24;0.014084858;0.985915142;1;5.95E-14
25;0.014364871;0.985635129;1;7.55E-15
26;0.014665058;0.985334942;1;-2.26E-14
27;0.014986709;0.985013291;1;3.66E-15
28;0.015331218;0.984668782;1;-3.11E-15
29;0.015700096;0.984299904;1;-4.75E-14
30;0.016094979;0.983905021;1;4.56E-14
31;0.016517638;0.983482362;1;-4.33E-14
32;0.016969997;0.983030003;1;-7.99E-15
33;0.017454141;0.982545859;1;-1.67E-14
34;0.01797234;0.98202766;1;4.94E-14
35;0.01852706;0.98147294;1;7.88E-15
36;0.019120991;0.980879009;1;4.67E-14
37;0.019757066;0.980242934;1;4.22E-15
38;0.020438493;0.979561507;1;6.11E-15
39;0.021168781;0.978831219;1;-2.46E-14
40;0.021951778;0.978048222;1;-7.33E-14
41;0.022791714;0.977208286;1;-2.00E-14
42;0.023693239;0.976306761;1;4.66E-15
43;0.024661485;0.975338515;1;-2.07E-14
44;0.025702117;0.974297883;1;2.89E-15
45;0.026821407;0.973178593;1;-1.60E-14
46;0.028026308;0.971973692;1;-5.77E-15
47;0.029324544;0.970675456;1;-5.97E-14
48;0.030724705;0.969275295;1;-6.66E-14
49;0.032236366;0.967763634;1;5.16E-14
50;0.0338702;0.9661298;1;2.86E-14
51;0.035638111;0.964361889;1;1.30E-14
52;0.037553334;0.962446666;1;-5.60E-14
53;0.039630447;0.960369553;1;-7.88E-14
54;0.04188497;0.95811503;1;-3.09E-13
55;0.044330772;0.955669228;1;-6.88E-15
56;0.046955053;0.953044947;1;-1.60E-14
57;0.050354162;0.949645838;1;-6.17E-14
58;0.053270818;0.946729182;1;-1.93E-14
59;0.056758001;0.943241999;1;-8.99E-14
60;0.06061008;0.93938992;1;-3.80E-14
61;0.06485686;0.93514314;1;-3.22E-14
62;0.069544841;0.930455159;1;-6.88E-14
63;0.074730288;0.925269712;1;1.11E-14
64;0.080479282;0.919520718;1;1.19E-14
65;0.086869095;0.913130905;1;-1.35E-14
66;0.093990175;0.906009825;1;-7.02E-14
67;0.101948668;0.898051332;1;9.10E-15
68;0.110869537;0.889130463;1;-1.15E-13
69;0.120900357;0.879099643;1;1.92E-14
70;0.132215939;0.867784061;1;2.84E-14
71;0.145023914;0.854976086;1;-6.22E-14
72;0.159571397;0.840428603;1;2.41E-14
73;0.176152844;0.823847156;1;2.89E-15
74;0.195119052;0.804880948;1;-3.00E-14
75;0.216887045;0.783112955;1;-1.15E-13
76;0.241950048;0.758049952;1;-4.02E-14
77;0.270885884;0.729114116;1;-1.09E-13
78;0.304360418;0.695639582;1;-3.75E-14
79;0.343119906;0.656880094;1;1.57E-14
80;0.38796143;0.61203857;1;-5.13E-14
81;0.439663675;0.560336325;1;6.17E-14
82;0.498851025;0.501148975;1;-9.06E-14
83;0.565755032;0.434244968;1;-9.37E-14
84;0.63983722;0.36016278;1;-1.75E-13
85;0.719265862;0.280734138;1;-1.91E-13
86;0.800328901;0.199671099;1;-3.55E-13
87;0.877038264;0.122961736;1;3.34E-13
88;0.941381194;0.058618806;1;6.88E-15
