A;R;T;RT;TR
0;0.724717409;0.275282591;1;-1.55E-15
1;0.724779494;0.275220506;1;7.95E-14
2;0.724965734;0.275034266;1;3.50E-14
3;0.725276083;0.274723917;1;4.71E-14
4;0.725710466;0.274289534;1;-5.66E-14
5;0.726268775;0.273731225;1;-7.99E-15
6;0.726950871;0.273049129;1;8.76E-14
7;0.727756581;0.272243419;1;4.51E-14
8;0.728685694;0.271314306;1;-5.33E-15
9;0.729737963;0.270262037;1;1.67E-14
10;0.730913098;0.269086902;1;-6.66E-15
11;0.732210768;0.267789232;1;4.44E-16
12;0.733630593;0.266369407;1;-1.60E-14
13;0.73517214;0.26482786;1;1.19E-14
14;0.736834922;0.263165078;1;-3.11E-15
15;0.738618388;0.261381612;1;-1.07E-14
16;0.740521921;0.259478079;1;-1.82E-14
17;0.742544826;0.257455174;1;-3.22E-14
18;0.744686322;0.255313678;1;-1.55E-14
19;0.746945533;0.253054467;1;-2.22E-16
20;0.749321471;0.250678529;1;-8.44E-15
21;0.751813019;0.248186981;1;-5.55E-14
22;0.754418905;0.245581095;1;-2.00E-15
23;0.757137668;0.242862332;1;-3.06E-14
24;0.759967605;0.240032395;1;2.38E-14
25;0.762906691;0.237093309;1;5.77E-15
26;0.765952447;0.234047553;1;-6.44E-15
27;0.769101703;0.230898297;1;-2.31E-14
28;0.772350161;0.227649839;1;1.82E-14
29;0.77569147;0.22430853;1;-1.38E-14
30;0.779115096;0.220884904;1;-2.53E-14
31;0.782600532;0.217399468;1;1.71E-14
32;0.786097577;0.213902423;1;-9.10E-15
33;0.789427322;0.210572678;1;-1.57E-13
34;0.790973776;0.209026224;1;8.06E-14
35;0.801804312;0.198195688;1;2.58E-14
36;0.803638084;0.196361916;1;-3.29E-14
37;0.807335756;0.192664244;1;-3.55E-14
38;0.811373202;0.188626798;1;2.82E-14
39;0.815575195;0.184424805;1;-2.13E-14
40;0.819890915;0.180109085;1;1.11E-14
41;0.82429822;0.17570178;1;6.68E-14
42;0.828784407;0.171215593;1;1.39E-14
43;0.83334054;0.16665946;1;-2.00E-15
44;0.837959357;0.162040643;1;6.66E-15
45;0.84263437;0.15736563;1;2.91E-14
46;0.847359445;0.152640555;1;2.82E-14
47;0.85212857;0.14787143;1;-5.77E-15
48;0.856935743;0.143064257;1;1.10E-14
49;0.861774898;0.138225102;1;-7.55E-15
50;0.866639864;0.133360136;1;2.52E-14
51;0.871524343;0.128475657;1;-1.24E-14
52;0.876421894;0.123578106;1;2.46E-14
53;0.881325927;0.118674073;1;-2.95E-14
54;0.886229697;0.113770303;1;1.83E-14
55;0.891126301;0.108873699;1;1.17E-14
56;0.896008682;0.103991318;1;2.35E-14
57;0.900869623;0.099130377;1;-9.55E-15
58;0.905701755;0.094298245;1;1.72E-14
59;0.910497551;0.089502449;1;2.31E-14
60;0.915249326;0.084750674;1;-3.31E-14
61;0.919949231;0.080050769;1;1.64E-14
62;0.924589229;0.075410771;1;2.05E-14
63;0.92916106;0.07083894;1;-8.88E-15
64;0.93365614;0.06634386;1;1.87E-14
65;0.938065326;0.061934674;1;-3.49E-14
66;0.942378286;0.057621714;1;-2.93E-14
67;0.946581445;0.053418555;1;3.11E-15
68;0.950648925;0.049351075;1;-3.40E-14
69;0.954462692;0.045537308;1;8.07E-14
70;0.959819922;0.040180078;1;-4.57E-14
71;0.962645576;0.037354424;1;5.55E-16
72;0.966161187;0.033838813;1;3.60E-14
73;0.969588836;0.030411164;1;4.11E-15
74;0.972879269;0.027120731;1;3.32E-14
75;0.976015459;0.023984541;1;-3.97E-14
76;0.978986966;0.021013034;1;-7.55E-15
77;0.981785603;0.018214397;1;-6.66E-14
78;0.98440429;0.01559571;1;6.08E-14
79;0.986836661;0.013163339;1;-3.95E-14
80;0.989076929;0.010923071;1;1.11E-15
81;0.991119822;0.008880178;1;-6.37E-14
82;0.992960566;0.007039434;1;4.33E-14
83;0.994594882;0.005405118;1;-4.49E-14
84;0.996018982;0.003981018;1;-7.55E-14
85;0.997229576;0.002770424;1;-5.35E-14
86;0.998223876;0.001776124;1;1.73E-13
87;0.998999594;0.001000406;1;4.43E-14
88;0.999554951;4.45E-04;1;1.87E-13
