A;R;T;RT;TR
0;0.029959151;0.970040849;1;1.64E-14
1;0.029940849;0.970059151;1;3.34E-14
2;0.029885972;0.970114028;1;-1.98E-14
3;0.029794595;0.970205405;1;1.65E-14
4;0.029666851;0.970333149;1;5.55E-15
5;0.029502922;0.970497078;1;-2.22E-15
6;0.029303043;0.970696957;1;4.66E-15
7;0.029067503;0.970932497;1;1.22E-15
8;0.028796644;0.971203356;1;4.88E-15
9;0.028490865;0.971509135;1;-1.04E-14
10;0.028150615;0.971849385;1;6.99E-15
11;0.027776403;0.972223597;1;-1.64E-14
12;0.027368792;0.972631208;1;-6.44E-15
13;0.026928402;0.973071598;1;1.28E-14
14;0.026455913;0.973544087;1;1.90E-14
15;0.025952062;0.974047938;1;1.79E-14
16;0.025417645;0.974582355;1;2.28E-14
17;0.024853521;0.975146479;1;1.10E-14
18;0.02426061;0.97573939;1;8.10E-15
19;0.023639894;0.976360106;1;1.33E-14
20;0.022992422;0.977007578;1;-6.66E-16
21;0.022319306;0.977680694;1;-3.33E-15
22;0.02162173;0.97837827;1;-1.60E-14
23;0.020900947;0.979099053;1;2.89E-15
24;0.020158284;0.979841716;1;-6.00E-15
25;0.019395144;0.980604856;1;1.72E-14
26;0.018613015;0.981386985;1;9.77E-15
27;0.017813469;0.982186531;1;2.44E-15
28;0.016998174;0.983001826;1;-1.29E-14
29;0.016168895;0.983831105;1;-1.93E-14
30;0.015327512;0.984672488;1;1.14E-14
31;0.014476021;0.985523979;1;-3.55E-15
32;0.013616553;0.986383447;1;6.66E-16
33;0.012751384;0.987248616;1;-1.11E-14
34;0.011882954;0.988117046;1;-5.55E-15
35;0.011013881;0.988986119;1;8.44E-15
36;0.010146988;0.989853012;1;9.88E-15
37;0.009285318;0.990714682;1;-2.71E-14
38;0.008432162;0.991567838;1;2.98E-14
39;0.007591089;0.992408911;1;-5.95E-14
40;0.006765971;0.993234029;1;1.53E-14
41;0.005961015;0.994038985;1;2.44E-15
42;0.005180804;0.994819196;1;-3.77E-15
43;0.004430325;0.995569675;1;1.33E-15
44;0.003715016;0.996284984;1;5.66E-15
45;0.003040806;0.996959194;1;2.30E-14
46;0.002414163;0.997585837;1;-3.22E-14
47;0.001842147;0.998157853;1;-1.09E-14
48;0.001332465;0.998667535;1;-2.60E-14
49;8.94E-04;0.999106459;1;-8.22E-15
50;5.35E-04;0.999465417;1;-2.60E-14
51;2.66E-04;0.999734324;1;-1.44E-14
52;9.79E-05;0.99990213;1;2.95E-14
53;4.33E-05;0.999956717;1;-2.93E-14
54;1.15E-04;0.999884849;1;-1.18E-14
55;3.27E-04;0.99967259;1;-2.53E-14
56;6.75E-04;0.999324566;1;-1.02E-14
57;0.001261519;0.998738481;1;-8.44E-15
58;0.002004969;0.997995031;1;9.99E-16
59;0.002972438;0.997027562;1;1.94E-14
60;0.00418857;0.99581143;1;3.00E-15
61;0.005683723;0.994316277;1;3.32E-14
62;0.007493221;0.992506779;1;-1.02E-14
63;0.009658175;0.990341825;1;1.62E-14
64;0.012226688;0.987773312;1;7.66E-15
65;0.015255401;0.984744599;1;6.73E-14
66;0.018811437;0.981188563;1;1.65E-14
67;0.022974838;0.977025162;1;5.94E-14
68;0.027841659;0.972158341;1;4.42E-14
69;0.033527872;0.966472128;1;6.22E-14
70;0.040174352;0.959825648;1;-3.04E-14
71;0.04795325;0.95204675;1;8.10E-15
72;0.057076195;0.942923805;1;4.80E-14
73;0.067804863;0.932195137;1;1.93E-14
74;0.080464635;0.919535365;1;-1.91E-14
75;0.09546221;0.90453779;1;7.19E-14
76;0.113308175;0.886691825;1;-3.00E-14
77;0.134645501;0.865354499;1;-8.22E-15
78;0.160284491;0.839715509;1;-3.69E-14
79;0.191243178;0.808756822;1;-1.07E-14
80;0.228788345;0.771211655;1;-1.20E-14
81;0.274463511;0.725536489;1;3.80E-14
82;0.330071548;0.669928452;1;4.44E-16
83;0.397543021;0.602456979;1;7.77E-14
84;0.478558192;0.521441808;1;-7.73E-14
85;0.573706661;0.426293339;1;-2.58E-14
86;0.680935592;0.319064408;1;1.41E-14
87;0.793295834;0.206704166;1;-6.68E-14
88;0.896970616;0.103029384;1;-2.93E-14
