A;R;T;RT;TR
0;0.055770887;0.944229113;1;-1.82E-13
1;0.055740824;0.944259176;1;6.66E-16
2;0.055650671;0.944349329;1;-1.18E-14
3;0.055500529;0.944499471;1;-3.11E-14
4;0.05529057;0.94470943;1;-3.06E-14
5;0.055021036;0.944978964;1;9.55E-15
6;0.054692238;0.945307762;1;-2.49E-14
7;0.054304556;0.945695444;1;-1.42E-14
8;0.053858443;0.946141557;1;-2.07E-14
9;0.053354423;0.946645577;1;-1.64E-14
10;0.052793096;0.947206904;1;-4.73E-14
11;0.052175134;0.947824866;1;-2.66E-14
12;0.051501286;0.948498714;1;1.67E-15
13;0.050772378;0.949227622;1;5.22E-15
14;0.049989317;0.950010683;1;-2.46E-14
15;0.04915309;0.95084691;1;4.44E-15
16;0.048264766;0.951735234;1;-2.89E-14
17;0.047325501;0.952674499;1;4.55E-15
18;0.046336536;0.953663464;1;-6.66E-15
19;0.045299204;0.954700796;1;-1.33E-15
20;0.044214929;0.955785071;1;-2.22E-16
21;0.043085231;0.956914769;1;-2.44E-14
22;0.041911726;0.958088274;1;-6.66E-16
23;0.040696137;0.959303863;1;4.74E-14
24;0.039440291;0.960559709;1;1.01E-14
25;0.038146128;0.961853872;1;-1.24E-14
26;0.036815708;0.963184292;1;-3.69E-14
27;0.035451217;0.964548783;1;8.22E-15
28;0.034054974;0.965945026;1;-3.15E-14
29;0.032629448;0.967370552;1;-9.99E-15
30;0.031177261;0.968822739;1;1.33E-14
31;0.02970121;0.97029879;1;-9.77E-15
32;0.028204279;0.971795721;1;-2.20E-14
33;0.026689662;0.973310338;1;-4.00E-15
34;0.02516078;0.97483922;1;-4.11E-14
35;0.023621307;0.976378693;1;-1.04E-14
36;0.022075201;0.977924799;1;2.14E-14
37;0.02052673;0.97947327;1;-4.00E-14
38;0.018980508;0.981019492;1;1.74E-14
39;0.017441534;0.982558466;1;-4.49E-14
40;0.01591523;0.98408477;1;-9.99E-15
41;0.014407486;0.985592514;1;-2.38E-14
42;0.012924707;0.987075293;1;1.82E-14
43;0.011473869;0.988526131;1;-2.35E-14
44;0.010062567;0.989937433;1;-4.44E-15
45;0.008699081;0.991300919;1;-1.07E-14
46;0.007392439;0.992607561;1;-1.75E-14
47;0.006152489;0.993847511;1;-3.09E-14
48;0.004989977;0.995010023;1;3.03E-14
49;0.003916633;0.996083367;1;-1.47E-14
50;0.002945277;0.997054723;1;-1.50E-13
51;0.00208993;0.99791007;1;-1.89E-14
52;0.001365953;0.998634047;1;-7.77E-15
53;7.90E-04;0.999209788;1;9.65E-14
54;3.81E-04;0.999618715;1;1.08E-13
55;1.60E-04;0.999840254;1;-1.05E-13
56;1.49E-04;0.999851273;1;4.29E-14
57;3.78E-04;0.999622091;1;-8.97E-14
58;8.44E-04;0.999155669;1;-1.68E-13
59;0.001631093;0.998368907;1;1.31E-13
60;0.00274324;0.99725676;1;-1.37E-13
61;0.004225731;0.995774269;1;4.98E-14
62;0.006125557;0.993874443;1;-1.47E-14
63;0.008496424;0.991503576;1;-2.29E-14
64;0.011400493;0.988599507;1;-3.55E-15
65;0.014910257;0.985089743;1;-1.91E-13
66;0.019110803;0.980889197;1;-4.00E-14
67;0.024102607;0.975897393;1;2.78E-15
68;0.030005005;0.969994995;1;-2.78E-14
69;0.036960492;0.963039508;1;1.28E-13
70;0.045140104;0.954859896;1;-9.90E-14
71;0.054750106;0.945249894;1;1.92E-13
72;0.066040345;0.933959655;1;6.93E-14
73;0.079314614;0.920685386;1;-2.11E-14
74;0.094943437;0.905056563;1;1.48E-13
75;0.113379606;0.886620394;1;7.99E-15
76;0.135176574;0.864823426;1;-9.86E-14
77;0.161009238;0.838990762;1;1.68E-13
78;0.191695256;0.808304744;1;-9.10E-15
79;0.228212355;0.771787645;1;8.44E-15
80;0.27170166;0.72829834;1;-5.80E-14
81;0.323437263;0.676562737;1;1.40E-13
82;0.384725344;0.615274656;1;2.64E-13
83;0.45667064;0.54332936;1;7.35E-14
84;0.539718521;0.460281479;1;-2.20E-14
85;0.63287216;0.36712784;1;-2.10E-13
86;0.732565849;0.267434151;1;1.40E-13
87;0.831468819;0.168531181;1;7.73E-14
88;0.918060033;0.081939967;1;-9.08E-14
