A;R;T;RT;TR
0;0.426666627;0.573333373;1;-8.44E-15
1;0.42656828;0.57343172;1;-1.44E-14
2;0.426273145;0.573726855;1;-1.49E-14
3;0.425780945;0.574219055;1;-1.73E-14
4;0.425091219;0.574908781;1;-3.69E-14
5;0.424203321;0.575796679;1;6.99E-15
6;0.42311642;0.57688358;1;1.24E-14
7;0.421829503;0.578170497;1;2.18E-14
8;0.420341376;0.579658624;1;1.99E-14
9;0.418650658;0.581349342;1;6.33E-15
10;0.416755792;0.583244208;1;-2.15E-14
11;0.414655036;0.585344964;1;-3.42E-14
12;0.412346468;0.587653532;1;-1.33E-14
13;0.409827986;0.590172014;1;1.18E-14
14;0.407097303;0.592902697;1;-1.69E-14
15;0.404151951;0.595848049;1;-4.88E-15
16;0.400989273;0.599010727;1;-6.66E-15
17;0.39760642;0.60239358;1;-5.28E-14
18;0.394000343;0.605999657;1;-1.09E-14
19;0.390167781;0.609832219;1;-3.55E-15
20;0.386105242;0.613894758;1;-3.33E-15
21;0.381808979;0.618191021;1;4.42E-14
22;0.377274948;0.622725052;1;8.99E-15
23;0.372498749;0.627501251;1;-1.53E-14
24;0.367475538;0.632524462;1;-9.88E-14
25;0.362199884;0.637800116;1;8.97E-14
26;0.356665549;0.643334451;1;-3.02E-14
27;0.350865123;0.649134877;1;-2.35E-14
28;0.344789416;0.655210584;1;2.78E-15
29;0.338426376;0.661573624;1;9.66E-15
30;0.331759075;0.668240925;1;8.60E-14
31;0.32476168;0.67523832;1;2.20E-13
32;0.317390637;0.682609363;1;2.20E-14
33;0.309562865;0.690437135;1;-1.18E-13
34;0.301091533;0.698908467;1;8.33E-14
35;0.291437535;0.708562465;1;1.71E-13
36;0.278096301;0.721903699;1;3.45E-13
37;0.155261757;0.844738243;1;-4.34E-12
38;0.285506507;0.714493493;1;8.32E-14
39;0.269658753;0.730341247;1;-1.09E-13
40;0.258332977;0.741667023;1;7.39E-14
41;0.247853609;0.752146391;1;-7.84E-14
42;0.237544407;0.762455593;1;-1.12E-13
43;0.22719181;0.77280819;1;4.43E-14
44;0.216711603;0.783288397;1;1.36E-13
45;0.206068746;0.793931254;1;-2.05E-13
46;0.19525145;0.80474855;1;-3.69E-13
47;0.184261212;0.815738788;1;-6.42E-14
48;0.173108594;0.826891406;1;-4.60E-14
49;0.161811393;0.838188607;1;1.84E-14
50;0.150393937;0.849606063;1;3.89E-14
51;0.138886967;0.861113033;1;3.55E-15
52;0.12732785;0.87267215;1;-2.44E-14
53;0.115761019;0.884238981;1;1.24E-14
54;0.10423856;0.89576144;1;3.22E-14
55;0.092820938;0.907179062;1;7.90E-14
56;0.081577834;0.918422166;1;-3.35E-14
57;0.070589096;0.929410904;1;8.10E-15
58;0.059945817;0.940054183;1;-2.50E-13
59;0.049751545;0.950248455;1;1.20E-14
60;0.040123639;0.959876361;1;-1.37E-13
61;0.031194805;0.968805195;1;8.93E-14
62;0.023114814;0.976885186;1;6.88E-15
63;0.016052447;0.983947553;1;2.49E-14
64;0.010197672;0.989802328;1;9.21E-15
65;0.005764075;0.994235925;1;2.49E-14
66;0.002991543;0.997008457;1;-5.06E-14
67;0.002149183;0.997850817;1;1.50E-13
68;0.003538397;0.996461603;1;9.21E-15
69;0.007496016;0.992503984;1;-6.04E-14
70;0.014397233;0.985602767;1;1.25E-13
71;0.024658002;0.975341998;1;-3.64E-14
72;0.038736299;0.961263701;1;6.64E-14
73;0.057131344;0.942868656;1;4.05E-13
74;0.080379461;0.919620539;1;-2.00E-13
75;0.109044608;0.890955392;1;-2.00E-15
76;0.143700815;0.856299185;1;-1.64E-13
77;0.184902805;0.815097195;1;3.35E-14
78;0.233139924;0.766860076;1;3.46E-13
79;0.288767638;0.711232362;1;3.51E-13
80;0.351910651;0.648089349;1;-3.38E-14
81;0.422333358;0.577666642;1;-1.75E-13
82;0.499278463;0.500721537;1;-3.10E-13
83;0.581285368;0.418714632;1;7.73E-14
84;0.666017864;0.333982136;1;-4.25E-13
85;0.750154741;0.249845259;1;2.82E-13
86;0.82941979;0.17058021;1;-2.60E-14
87;0.898833076;0.101166924;1;3.77E-15
88;0.953231463;0.046768537;1;-2.00E-14
