A;R;T;RT;TR
0;0.0493139;0.9506861;1;4.69E-14
1;0.049331773;0.950668227;1;7.38E-14
2;0.049385448;0.950614552;1;8.55E-15
3;0.049475091;0.950524909;1;4.76E-14
4;0.049600985;0.950399015;1;-4.44E-16
5;0.049763521;0.950236479;1;-9.75E-14
6;0.04996321;0.95003679;1;-2.98E-14
7;0.050200678;0.949799322;1;2.63E-14
8;0.050476674;0.949523326;1;-1.09E-13
9;0.050792068;0.949207932;1;-5.20E-14
10;0.051147859;0.948852141;1;-1.34E-13
11;0.051545177;0.948454823;1;2.39E-14
12;0.051985289;0.948014711;1;-6.95E-14
13;0.052469605;0.947530395;1;-7.51E-14
14;0.052999682;0.947000318;1;5.22E-14
15;0.053577231;0.946422769;1;-1.19E-13
16;0.054204127;0.945795873;1;1.05E-13
17;0.054882416;0.945117584;1;9.76E-14
18;0.055614319;0.944385681;1;2.43E-14
19;0.056402252;0.943597748;1;-2.10E-13
20;0.057248825;0.942751175;1;7.57E-14
21;0.058156864;0.941843136;1;1.03E-13
22;0.059129416;0.940870584;1;1.68E-13
23;0.060169768;0.939830232;1;1.98E-14
24;0.06128146;0.93871854;1;1.39E-13
25;0.062468301;0.937531699;1;1.05E-14
26;0.063734389;0.936265611;1;-1.91E-13
27;0.065084132;0.934915868;1;2.56E-14
28;0.066522267;0.933477733;1;-7.04E-14
29;0.068053885;0.931946115;1;1.65E-13
30;0.069684459;0.930315541;1;-8.79E-14
31;0.071419874;0.928580126;1;-1.49E-14
32;0.073266455;0.926733545;1;3.14E-14
33;0.07523101;0.92476899;1;4.49E-14
34;0.077320859;0.922679141;1;-5.20E-14
35;0.07954389;0.92045611;1;7.76E-14
36;0.081908597;0.918091403;1;3.96E-14
37;0.084424138;0.915575862;1;6.62E-14
38;0.087100395;0.912899605;1;-2.28E-13
39;0.089948035;0.910051965;1;-1.27E-14
40;0.092978587;0.907021413;1;-1.05E-13
41;0.096204521;0.903795479;1;1.63E-14
42;0.099639332;0.900360668;1;-9.55E-15
43;0.103297642;0.896702358;1;-1.11E-14
44;0.107195305;0.892804695;1;-2.26E-13
45;0.111349521;0.888650479;1;-1.00E-13
46;0.115778967;0.884221033;1;1.26E-13
47;0.120503935;0.879496065;1;4.24E-14
48;0.125546475;0.874453525;1;-2.44E-13
49;0.130930559;0.869069441;1;-4.66E-14
50;0.136682241;0.863317759;1;-8.70E-14
51;0.142829819;0.857170181;1;9.67E-14
52;0.149403972;0.850596028;1;-2.22E-14
53;0.156437842;0.843562158;1;-2.44E-15
54;0.163966911;0.836033089;1;-2.38E-13
55;0.172028287;0.827971713;1;3.09E-14
56;0.180657605;0.819342395;1;9.43E-14
57;0.189872118;0.810127882;1;-4.15E-13
58;0.199427236;0.800572764;1;4.91E-14
59;0.211255757;0.788744243;1;1.54E-13
60;0.22243592;0.77756408;1;2.31E-13
61;0.234737562;0.765262438;1;-2.08E-13
62;0.248011875;0.751988125;1;-3.43E-13
63;0.262307434;0.737692566;1;-3.57E-14
64;0.277696491;0.722303509;1;6.02E-13
65;0.294260215;0.705739785;1;2.50E-13
66;0.31208517;0.68791483;1;1.31E-13
67;0.331261504;0.668738496;1;-2.76E-13
68;0.351881237;0.648118763;1;-2.33E-13
69;0.374036113;0.625963887;1;-2.08E-13
70;0.397814743;0.602185257;1;-1.61E-13
71;0.423298783;0.576701217;1;-5.34E-13
72;0.450557915;0.549442085;1;-3.92E-13
73;0.479643338;0.520356662;1;-8.16E-13
74;0.510579559;0.489420441;1;2.58E-13
75;0.543354241;0.456645759;1;-4.87E-13
76;0.577906029;0.422093971;1;-8.84E-14
77;0.61411042;0.38588958;1;-4.46E-14
78;0.651764098;0.348235902;1;-8.58E-13
79;0.690568568;0.309431432;1;5.09E-13
80;0.730114557;0.269885443;1;1.03E-13
81;0.769869361;0.230130639;1;4.64E-13
82;0.809170073;0.190829927;1;1.46E-12
83;0.847226171;0.152773829;1;-9.41E-13
84;0.88313508;0.11686492;1;-2.16E-12
85;0.915913651;0.084086349;1;9.54E-13
86;0.944546739;0.055453261;1;-8.01E-13
87;0.968051238;0.031948762;1;1.38E-12
88;0.985550307;0.014449693;1;-1.58E-13
