A;R;T;RT;TR
0;0.03223865;0.96776135;1;4.73E-13
1;0.032248242;0.967751758;1;9.27E-14
2;0.032277051;0.967722949;1;-1.71E-13
3;0.032325182;0.967674818;1;-6.66E-15
4;0.032392806;0.967607194;1;1.51E-13
5;0.032480168;0.967519832;1;-9.55E-15
6;0.032587582;0.967412418;1;-9.19E-14
7;0.032715434;0.967284566;1;9.41E-14
8;0.032864185;0.967135815;1;4.22E-15
9;0.03303437;0.96696563;1;-2.05E-13
10;0.033226605;0.966773395;1;-2.91E-14
11;0.033441584;0.966558416;1;-8.68E-14
12;0.033680083;0.966319917;1;-1.16E-13
13;0.033942968;0.966057032;1;1.98E-14
14;0.034231191;0.965768809;1;-1.73E-14
15;0.034545801;0.965454199;1;-3.02E-14
16;0.034887942;0.965112058;1;-2.20E-14
17;0.035258864;0.964741136;1;-2.98E-14
18;0.035659922;0.964340078;1;-8.68E-14
19;0.036092589;0.963907411;1;1.20E-13
20;0.036558456;0.963441544;1;1.71E-14
21;0.037059243;0.962940757;1;4.02E-14
22;0.037596806;0.962403194;1;-5.11E-14
23;0.038173146;0.961826854;1;1.37E-14
24;0.038790418;0.961209582;1;-1.22E-13
25;0.039450944;0.960549056;1;1.78E-15
26;0.04015722;0.95984278;1;-1.42E-13
27;0.040911935;0.959088065;1;-4.29E-14
28;0.041717984;0.958282016;1;2.01E-14
29;0.042578481;0.957421519;1;6.08E-14
30;0.043496784;0.956503216;1;5.11E-14
31;0.044476509;0.955523491;1;-1.54E-13
32;0.045521557;0.954478443;1;8.04E-14
33;0.046636138;0.953363862;1;-8.33E-13
34;0.047824802;0.952175198;1;4.29E-13
35;0.049092468;0.950907532;1;3.44E-14
36;0.050444465;0.949555535;1;-5.93E-14
37;0.051886572;0.948113428;1;4.43E-14
38;0.053425061;0.946574939;1;-2.63E-13
39;0.055066755;0.944933245;1;-2.58E-14
40;0.056819082;0.943180918;1;6.00E-14
41;0.058690148;0.941309852;1;6.79E-14
42;0.060688804;0.939311196;1;5.00E-14
43;0.06282474;0.93717526;1;-1.07E-13
44;0.065108572;0.934891428;1;2.17E-13
45;0.067551955;0.932448045;1;-1.89E-13
46;0.070167704;0.929832296;1;4.04E-14
47;0.072969925;0.927030075;1;-2.57E-13
48;0.075974171;0.924025829;1;2.26E-14
49;0.079197605;0.920802395;1;-2.07E-13
50;0.082659184;0.917340816;1;8.52E-14
51;0.086379847;0.913620153;1;-3.26E-14
52;0.090382697;0.909617303;1;-1.69E-13
53;0.09469311;0.90530689;1;1.42E-14
54;0.099338597;0.900661403;1;-2.98E-13
55;0.104347666;0.895652334;1;4.03E-13
56;0.109743408;0.890256592;1;2.31E-13
57;0.115479278;0.884520722;1;2.54E-13
58;0.122708729;0.877291271;1;2.26E-13
59;0.129157114;0.870842886;1;-6.86E-14
60;0.136615614;0.863384386;1;-2.80E-14
61;0.144774273;0.855225727;1;-6.66E-15
62;0.153679194;0.846320806;1;3.60E-13
63;0.163404421;0.836595579;1;-2.67E-13
64;0.174037807;0.825962193;1;-3.12E-13
65;0.185679503;0.814320497;1;-9.41E-14
66;0.19844249;0.80155751;1;-3.64E-13
67;0.212453622;0.787546378;1;-1.55E-15
68;0.227854826;0.772145174;1;-1.02E-14
69;0.244804222;0.755195778;1;-3.95E-14
70;0.263477001;0.736522999;1;1.74E-13
71;0.284065767;0.715934233;1;-2.44E-13
72;0.30677998;0.69322002;1;2.69E-13
73;0.331843928;0.668156072;1;-6.79E-13
74;0.359492456;0.640507544;1;-3.02E-14
75;0.389963343;0.610036657;1;9.37E-14
76;0.423484863;0.576515137;1;-1.18E-13
77;0.460256661;0.539743339;1;-1.51E-13
78;0.500421691;0.499578309;1;8.69E-14
79;0.544026834;0.455973166;1;-7.51E-14
80;0.590970227;0.409029773;1;-1.36E-13
81;0.640934793;0.359065207;1;7.65E-14
82;0.693310681;0.306689319;1;-1.59E-13
83;0.747114982;0.252885018;1;-6.28E-14
84;0.800925269;0.199074731;1;3.50E-13
85;0.852852942;0.147147058;1;-1.61E-13
86;0.90058916;0.09941084;1;-9.57E-14
87;0.941553572;0.058446428;1;-2.99E-13
88;0.973157046;0.026842954;1;-1.24E-13
