x=0;x=0;x=3;x=3;x=6;x=6;x=5.8ta;x=5.8ta;x=5.8tb;x=5.8tb;x=5.8aa;x=5.8aa;x=5.8ab;x=5.8ab;x=8.8;x=8.8
I;B;I;B;I;B;I;B;I;B;I;B;I;B;I;B
-3.251;-0.73;-3.251;-0.76;-3.251;-1.01;-3.248;4.74;-3.249;3.27;-3.257;-4.01;-3.266;-2.62;-2.247;-1.51
-3.501;-0.76;-3.501;-0.83;-3.501;-1.07;-3.493;5.16;-3.502;3.55;-3.484;-4.32;-3.489;-2.83;-2.504;-1.71
-3.757;-0.81;-3.757;-0.89;-3.757;-1.07;-3.751;5.63;-3.746;3.89;-3.751;-4.72;-3.756;-3.12;-2.761;-1.92
-4.001;-0.86;-4.001;-0.93;-4.001;-1.16;-3.994;6.06;-3.994;4.21;-4.003;-5.07;-4.004;-3.35;-3;-2.11
-3.755;-0.8;-3.755;-0.87;-3.755;-1.14;-3.756;5.74;-3.755;4.02;-3.741;-4.79;-3.746;-3.21;-3.247;-2.3
-3.508;-0.73;-3.508;-0.8;-3.508;-1.08;-3.507;5.42;-3.511;3.82;-3.509;-4.55;-3.506;-2.99;-3.498;-2.48
-3.264;-0.67;-3.264;-0.74;-3.264;-1.01;-3.251;5.13;-3.25;3.56;-3.251;-4.27;-3.248;-2.81;-3.755;-2.69
-2.998;-0.61;-2.998;-0.67;-2.998;-0.93;-3.011;4.81;-3.008;3.37;-3.008;-4.02;-3.002;-2.61;-4.004;-2.88
-2.744;-0.54;-2.744;-0.63;-2.744;-0.84;-2.757;4.46;-2.743;3.15;-2.745;-3.74;-2.742;-2.44;-4.246;-3.07
-2.497;-0.48;-2.497;-0.56;-2.497;-0.78;-2.549;4.19;-2.508;2.91;-2.507;-3.46;-2.505;-2.27;-4.508;-3.27
-2.253;-0.46;-2.253;-0.55;-2.253;-0.73;-2.253;3.8;-2.248;2.67;-2.253;-3.13;-2.255;-2.06;-4.25;-3.12
-2.001;-0.42;-2.001;-0.49;-2.001;-0.65;-2.014;3.49;-2.003;2.42;-2.002;-2.88;-1.989;-1.85;-4.005;-2.94
-1.755;-0.37;-1.755;-0.44;-1.755;-0.65;-1.752;3.12;-1.751;2.18;-1.745;-2.55;-1.75;-1.66;-3.749;-2.79
-1.508;-0.3;-1.508;-0.38;-1.508;-0.57;-1.509;2.78;-1.499;1.92;-1.506;-2.27;-1.494;-1.47;-3.504;-2.63
-1.261;-0.25;-1.261;-0.31;-1.261;-0.49;-1.243;2.4;-1.253;1.67;-1.251;-1.94;-1.251;-1.27;-3.252;-2.48
-1.008;-0.19;-1.008;-0.26;-1.008;-0.41;-1;2.04;-1.005;1.39;-1.009;-1.67;-1.002;-1.06;-3.015;-2.31
-0.75;-0.12;-0.75;-0.19;-0.75;-0.35;-0.748;1.64;-0.751;1.14;-0.744;-1.32;-0.748;-0.83;-2.752;-2.14
-0.487;-0.06;-0.487;-0.12;-0.487;-0.26;-0.503;1.31;-0.5;0.87;-0.507;-1.03;-0.495;-0.65;-2.512;-1.99
-0.253;-0.01;-0.253;-0.06;-0.253;-0.18;-0.251;0.93;-0.239;0.56;-0.252;-0.71;-0.255;-0.41;-2.252;-1.81
0;0.05;0;-0.02;0;-0.11;0;0.49;0;0.34;0;-0.4;0;-0.21;-2.009;-1.64
0.265;0.12;0.265;0.05;0.265;0;0.248;0.13;0.253;0.03;0.251;-0.05;0.255;0;-1.744;-1.45
0.5;0.15;0.5;0.11;0.5;0.08;0.5;-0.24;0.499;-0.25;0.502;0.25;0.497;0.24;-1.498;-1.29
0.753;0.2;0.753;0.16;0.753;0.17;0.748;-0.64;0.751;-0.56;0.747;0.58;0.749;0.47;-1.255;-1.12
0.997;0.25;0.997;0.21;0.997;0.24;0.998;-1.04;1;-0.84;1;0.88;0.993;0.66;-0.988;-0.94
1.254;0.3;1.254;0.27;1.254;0.33;1.245;-1.41;1.253;-1.18;1.251;1.23;1.247;0.88;-0.752;-0.76
1.504;0.35;1.504;0.34;1.504;0.41;1.494;-1.83;1.497;-1.44;1.507;1.59;1.505;1.14;-0.52;-0.59
1.758;0.41;1.758;0.42;1.758;0.55;1.748;-2.21;1.753;-1.77;1.764;1.95;1.756;1.35;-0.259;-0.41
1.998;0.43;1.998;0.43;1.998;0.61;1.994;-2.61;2.003;-2.09;2.003;2.27;1.995;1.57;0;-0.21
2.252;0.49;2.252;0.51;2.252;0.67;2.253;-3.07;2.264;-2.44;2.251;2.61;2.246;1.81;0.253;-0.03
2.508;0.58;2.508;0.57;2.508;0.75;2.499;-3.46;2.538;-2.81;2.496;2.94;2.502;2.05;0.505;0.17
2.752;0.61;2.752;0.64;2.752;0.8;2.757;-3.89;2.752;-3.04;2.752;3.27;2.754;2.31;0.752;0.35
3.012;0.66;3.012;0.96;3.012;0.87;3.001;-4.29;3.004;-3.37;2.999;3.64;3.002;2.55;1.003;0.56
3.253;0.71;3.253;0.75;3.253;0.95;3.252;-4.73;3.249;-3.71;3.261;4.01;3.256;2.77;1.253;0.75
